room_id,name,centroid_x,centroid_y,area,image_path
1,LAUNDRY,2671,2369,23611996,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_1.png
9,LAUNDRY,2646,587,1009,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_9.png
10,LAUNDRY,2691,598,2005,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_10.png
16,LAUNDRY,4639,647,3733,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_16.png
18,LAUNDRY,4563,655,3853,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_18.png
20,LAUNDRY,4570,732,3824,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_20.png
29,LAUNDRY,3689,840,2517,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_29.png
33,LAUNDRY,3371,849,1666,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_33.png
47,LAUNDRY,3488,879,1216,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_47.png
171,LAUNDRY,3689,1619,2518,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_171.png
188,BATHROOM,441,1875,1365,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/BATHROOM_188.png
229,LAUNDRY,788,2143,2087,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_229.png
230,LAUNDRY,4487,2143,2179,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_230.png
241,LAUNDRY,797,2182,1114,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_241.png
337,LAUNDRY,2823,2681,1362,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_337.png
348,LAUNDRY,2823,2775,1373,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_348.png
362,LAUNDRY,2826,2921,1822,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_362.png
375,LAUNDRY,2848,3044,1280,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_375.png
379,LAUNDRY,3638,3136,3521,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_379.png
382,LAUNDRY,3000,3156,1462,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_382.png
418,LAUNDRY,1109,3745,10804,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_418.png
425,LAUNDRY,2691,3820,2014,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_425.png
454,LAUNDRY,1661,4196,2087,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_454.png
455,LAUNDRY,2107,4196,2087,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_455.png
456,LAUNDRY,2186,4196,2087,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_456.png
458,LAUNDRY,1883,4196,1785,/Users/greedah/Documents/ai71/code/cons71/pocs/image-classification/resources/processed/rooms/segmented2/LAUNDRY_458.png
